RandomInt	Sentence
1	I rejoice in the sacred opportunity to sustain our Church leaders, and I wholeheartedly welcome Elder Gong and Elder Soares to the Quorum of the Twelve Apostles.
1	The ministries of these faithful men will bless individuals and families all over the world, and I am eager to serve with and learn from them.
0	I pray the Holy Ghost will teach and enlighten us as we learn together about a vital aspect of the Savior's divine nature that each of us should strive to emulate.
1	I will present several examples that highlight this Christlike quality before identifying the specific attribute later in my message.
1	Please listen carefully to each example and consider with me possible answers to the questions I will pose.
0	Example #1.
1	The Rich Young Man and Amulek In the New Testament, we learn about a rich young man who asked Jesus, Good Master, what good thing shall I do, that I may have eternal life? The Savior first admonished him to keep the commandments.
0	The Master next gave the young man an additional requirement customized to his specific needs and circumstances.
1	Jesus said unto him, If thou wilt be perfect, go and sell that thou hast, and give to the poor, and thou shalt have treasure in heaven: and come and follow me.
1	But when the young man heard that saying, he went away sorrowful: for he had great possessions.
1	Compare the response of the rich young man with the experience of Amulek, as described in the Book of Mormon.
1	Amulek was an industrious and prosperous man with many kindreds and friends.
0	He described himself as a man who was called many times but would not hear, a man who knew the things of God but would not know.
0	A basically good man, Amulek was distracted by worldly concerns much like the rich young man described in the New Testament.
1	Even though he had previously hardened his heart, Amulek obeyed the voice of an angel, received the prophet Alma in his home, and provided nourishment to him.
1	He was spiritually awakened during Alma's visit and was called to preach the gospel.
0	Amulek then forsook all his gold, and silver, and his precious things  for the word of God, [and was] rejected by those who were once his friends and also by his father and his kindred.
1	What do you think explains the difference between the responses of the rich young man and Amulek?  Example #2.
0	Pahoran During a perilous period of war described in the Book of Mormon, an exchange of epistles occurred between Moroni, the captain of the Nephite armies, and Pahoran, the chief judge and governor of the land.
0	Moroni, whose army was suffering because of inadequate support from the government, wrote to Pahoran by the way of condemnation and accused him and his fellow leaders of thoughtlessness, slothfulness, neglect, and even being traitors.
1	Pahoran easily might have resented Moroni and his inaccurate allegations, but he did not.
0	He responded compassionately and described a rebellion against the government about which Moroni was not aware.
1	And then Pahoran declared:  Behold, I say unto you, Moroni, that I do not joy in your great afflictions, yea, it grieves my soul.
1	In your epistle you have censured me, but it mattereth not; I am not angry, but do rejoice in the greatness of your heart.
0	What do you think explains Pahoran's measured reply to Moroni's accusations?  Example #3.
